robot_id,omega_z_1,omega_z_2,omega_z_3,omega_z_4,amp_z_1,amp_z_2,std_x,std_y,particle_successfull,w,W,f,rmse_div,cluster
42,0.0628318530717958,-0.0628318530717958,-0.0942477796076937,-0.0314159265358979,16.688551325951206,15.172099920602236,14.125483027536346,14.9141454590433,0,0.2288500719570805,-0.0101927462005296,-0.2808891859744376,2.193895195682785,4
44,-0.0314159265358979,0.0314159265358979,0.0942477796076937,-0.1570796326794896,57.0196497508391,55.90522758604824,14.28362542411274,26.20762504972209,0,0.1145358126159039,-0.0068186893136868,0.4234588061084031,-9.96099748969786,1
45,0.0314159265358979,0.0942477796076937,-0.0314159265358979,-0.0942477796076937,70.21366808147599,61.95664856283506,31.23744713678376,19.94314174253871,1,-0.1477403645224817,0.0079181387697123,0.6968907547055871,3.578405595465341,2
50,-0.0314159265358979,-0.0628318530717958,0.0942477796076937,0.0314159265358979,35.72734764479482,19.093773209432655,23.72974831535075,25.343667723278283,1,-0.1327176506527881,0.0077794372883882,2.7349997702853512,14.56885775267886,3
52,0.0942477796076937,-0.0314159265358979,0.0628318530717958,0.0314159265358979,33.40911130652509,28.883160982293724,29.337943207095012,20.20848713110891,1,-0.0707749714976581,0.0027899430877351,-1.9746060462902129,7.859150316622351,3
54,-0.0942477796076937,-0.0314159265358979,0.0314159265358979,0.0628318530717958,45.58776194260928,43.62692354980891,21.803485892409594,25.460760945466237,1,0.1336906410215265,-0.0158264044345375,1.118239794659092e-06,8.870125566321871,1
62,0.0628318530717958,-0.0314159265358979,0.0314159265358979,0.0942477796076937,50.22754226190202,21.905787217427275,17.537614422694148,17.681429028908,1,-0.0485809123366098,0.0095666483341944,-1.017689069960774,8.258619084609599,3
65,-0.0314159265358979,0.0942477796076937,-0.1256637061435917,0.1256637061435917,50.07778671908707,23.530953316012923,24.596371422614396,15.529284537017716,0,-0.1256586492926633,-0.0185744848780055,-2.5638533349793273,-2.0791598098160975,0
66,-0.0314159265358979,0.0314159265358979,0.0942477796076937,-0.0628318530717958,45.856487751808075,30.556152281871977,15.8142275511336,27.553662256548904,1,0.0881271249630356,-0.0089047053015333,-0.8002848042709766,13.131837536430847,1
72,-0.0314159265358979,-0.1256637061435917,0.0314159265358979,-0.0942477796076937,21.059965006168305,16.737161423574854,14.224453123405036,20.86417712743099,0,-0.2503024475199546,-0.0143883894584629,-2.3414645361515474,1.923204492055195,0
73,-0.0314159265358979,0.0314159265358979,-0.0628318530717958,-0.0942477796076937,74.86189060891516,36.83425387233213,15.395912943016857,12.144688863546609,1,-0.0277622951756328,-0.0130677589538189,1.2204185456966057,-0.8429972724512105,2
74,0.1256637061435917,0.0942477796076937,-0.0314159265358979,0.0314159265358979,62.779971028800645,43.74348378857421,17.053201494028233,26.0769652942392,1,-0.0660177105950982,0.0069885146168327,-1.5624626636092331,0.9790486765222184,3
77,-0.0628318530717958,-0.0314159265358979,0.0628318530717958,0.0314159265358979,76.1622051983191,14.373303073747568,19.684902858467296,8.679421859188135,1,0.0552282010313802,0.0092672949429672,2.166958097583901,2.534793738586039,2
